subject,decoder,threshold,coverage,risk,accuracy
8,ensemble,0.6,0.13541666666666666,0.1282051282051282,0.8717948717948718
8,ensemble,0.65,0.0798611111111111,0.08695652173913043,0.9130434782608695
8,ensemble,0.7,0.013888888888888888,0.0,1.0
8,ensemble,0.75,0.003472222222222222,0.0,1.0
8,ensemble,0.8,0.0,,
8,ensemble,0.85,0.0,,
8,ensemble,0.9,0.0,,
8,ensemble,0.95,0.0,,
8,ensemble,1.0,0.0,,
9,ensemble,0.0,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.05,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.1,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.15,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.2,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.25,1.0,0.5227272727272727,0.4772727272727273
9,ensemble,0.3,0.9696969696969697,0.51171875,0.48828125
9,ensemble,0.35,0.8446969696969697,0.4977578475336323,0.5022421524663677
9,ensemble,0.4,0.625,0.4484848484848485,0.5515151515151515
9,ensemble,0.45,0.2916666666666667,0.2727272727272727,0.7272727272727273
9,ensemble,0.5,0.026515151515151516,0.2857142857142857,0.7142857142857143
9,ensemble,0.55,0.0,,
9,ensemble,0.6,0.0,,
9,ensemble,0.65,0.0,,
9,ensemble,0.7,0.0,,
9,ensemble,0.75,0.0,,
9,ensemble,0.8,0.0,,
9,ensemble,0.85,0.0,,
9,ensemble,0.9,0.0,,
9,ensemble,0.95,0.0,,
9,ensemble,1.0,0.0,,
